name,salary_from,salary_to,salary_currency,area_name,published_at
Аналитик/департамент методологии и анализа,,,,Алматы,2022-12-20T07:32:44+0300
Специалист по обслуживанию (объекты операторов сотовой связи),30000.0,60000.0,RUR,Абакан,2022-12-20T06:10:59+0300
Руководитель проекта,,,,Хабаровск,2022-12-20T06:21:15+0300
Электромеханик,,,,Хабаровск,2022-12-20T07:01:54+0300
Системный аналитик,,,,Новосибирск,2022-12-20T05:30:27+0300
Системный инженер по IP-телефонии (Middle),100000.0,150000.0,RUR,Пермь,2022-12-20T06:50:25+0300
Аналитик,,,,Новосибирск,2022-12-20T07:27:43+0300
Директор по информационным технологиям (CIO / Chief Information Officer),120000.0,,RUR,Екатеринбург,2022-12-20T07:39:43+0300
Механик,50000.0,70000.0,RUR,Томск,2022-12-20T07:32:25+0300
Главный механик,60000.0,60000.0,RUR,Чита,2022-12-20T06:44:19+0300
Техник-инсталлятор радиооборудования,,,,Караганда,2022-12-20T06:19:16+0300
Аккаунт-менеджер / BDM / по рекламодателям CPA / affiliate,,,,Москва,2022-12-20T05:51:32+0300
Ведущий специалист по информационной безопасности,80000.0,,RUR,Кемерово,2022-12-20T07:36:49+0300
Шеф - редактор сайта Пятого канала,,,,Москва,2022-12-20T06:30:51+0300
Программист 1C,50000.0,100000.0,RUR,Канск,2022-12-20T05:52:29+0300
Механик,50000.0,70000.0,RUR,Южно-Сахалинск,2022-12-20T07:07:42+0300
Графический дизайнер,,,,Тюмень,2022-12-20T05:10:01+0300
Программист,40000.0,,RUR,Иркутск,2022-12-20T07:57:04+0300
Программист-наладчик станков с ЧПУ,100000.0,,RUR,Екатеринбург,2022-12-20T07:45:18+0300
DevOps инженер,100000.0,150000.0,RUR,Тюмень,2022-12-20T07:57:59+0300
Бизнес-аналитик,70000.0,100000.0,RUR,Нижний Новгород,2022-12-20T06:09:31+0300
Разработчик С/C++ (Linux),,,,Новосибирск,2022-12-20T04:52:30+0300
Теплотехник,54000.0,,RUR,Находка,2022-12-20T05:45:57+0300
Менеджер проекта,40000.0,80000.0,RUR,Кемерово,2022-12-20T06:54:35+0300
Аналитик-маркетолог,,,,Бишкек,2022-12-20T06:46:58+0300
Системный администратор,50000.0,,RUR,Искитим,2022-12-20T05:03:20+0300
Программист PL/SQL,,,,Екатеринбург,2022-12-20T07:15:17+0300
Шлифовщик,,,,Красноярск,2022-12-20T05:27:16+0300
Токарь,38000.0,38000.0,RUR,Челябинск,2022-12-20T06:54:57+0300
Оператор станка с ЧПУ,60000.0,70000.0,RUR,Санкт-Петербург,2022-12-20T07:35:00+0300
Разработчик 1С,90000.0,120000.0,RUR,Пермь,2022-12-20T07:19:11+0300
Торговый представитель СТМ,50000.0,90000.0,RUR,Новосибирск,2022-12-20T07:59:17+0300
Консультант 1С,60000.0,,RUR,Пермь,2022-12-20T07:42:40+0300
